11    8(点数)     .5e-005（角元素限差）    0.1（线元素限差）     1150.（焦距pixel）     225.0（主点像元位置 横 pixel）    225.0000（主点像元位置 纵 pixel）     0
11117 239742.790000 1188861.500000 66.580000 30.990000 399.510000 
 点号 （横坐标）    （纵坐标）      （高程） (（横坐标pixel） （纵坐标pixel）(原点为左上角)）
11127 240254.930000 1188894.570000 64.630000 223.000000 387.940000 
12117 239775.190000 1188851.910000 66.460000 43.250000 403.630000 
12127 240269.530000 1188948.730000 65.500000 228.000000 367.920000 
15226 239745.750000 1189769.780000 82.330000 30.490000 55.590000 
15236 239771.280000 1189764.020000 82.560000 39.990000 57.810000 
15266 240249.410000 1189740.850000 78.630000 221.990000 68.010000 
15276 240288.860000 1189710.630000 76.820000 237.000000 78.910000 


说明：因为所给为像点坐标都以像素为单位，所以焦距也已化为像素为单位，此外像点坐标是在图象坐标系中量测的，注意与像平面坐标系的转换。
